request_id,user_id,request_date,requested_amount,amount_safe_to_pay,earliest_date_for_full_payment,safe_with_changes,earliest_with_changes,spending_candidates
request_26,user_26,2025-08-03,15656000,15656000,2025-08-03,15656000,2025-08-03,stop:event_2322
request_27,user_27,2026-07-05,6670,6670,2026-07-05,6670,2026-07-05,stop:event_2412
request_28,user_28,2024-06-07,1302.4,310.7,,433.7,,stop:event_2512|stop:event_2513
request_29,user_29,2025-11-04,51524,32532.19,,32532.19,,none
request_30,user_30,2026-04-06,775.2,775.2,2026-04-06,775.2,2026-04-06,stop:event_2694
request_31,user_31,2024-09-03,18164000,5582071.93,2024-10-14,5582071.93,2024-10-14,none
request_32,user_32,2025-02-05,40018,0,,0,,stop:event_2863
request_33,user_33,2026-01-07,118000,51705.73,2026-01-14,60160,2026-01-14,stop:event_2967|reduce_to:event_2968:2240|reduce_to:event_2969:2060
request_34,user_34,2024-12-04,129400,129400,2024-12-04,129400,2024-12-04,stop:event_3085|stop:event_3084
request_35,user_35,2025-10-30,212000,56140.39,2025-12-16,56140.39,2025-12-16,none
request_36,user_36,2026-07-03,3954.00,902.8,2026-09-13,938.8,2026-09-13,reduce_to:event_3261:36.00
request_37,user_37,2024-03-05,14649000,1450792.46,,2060692.46,,reduce_to:event_3340:203300
request_38,user_38,2025-08-07,971.3,261.06,2025-09-13,266.06,2025-09-13,stop:event_3448
request_39,user_39,2026-04-04,208600,160378.32,2026-04-15,163168.32,2026-04-15,reduce_to:event_3529:2790
request_40,user_40,2024-06-06,1290.3,0.00,,0.00,,none
request_41,user_41,2025-11-03,38760000,13235628.95,2025-12-14,14189088.03,2025-11-15,reduce_to:event_3750:370880|reduce_to:event_3749:434150
request_42,user_42,2026-01-05,52100,0,,0,,none
request_43,user_43,2024-09-07,43339000,9777449.1,2024-10-14,10019699.1,2024-10-14,stop:event_3982
request_44,user_44,2025-02-04,95800,0,,0,,none
request_45,user_45,2026-07-06,21983000,5072824.97,2026-08-14,5494624.97,2026-08-14,stop:event_4144
request_46,user_46,2024-12-03,49450,49450,2024-12-03,49450,2024-12-03,stop:event_4223|stop:event_4224
request_47,user_47,2025-05-05,38114000,38114000,2025-05-05,38114000,2025-05-05,stop:event_4341|reduce_to:event_4342:605150|stop:event_4339
request_48,user_48,2026-07-25,45700,45700,2026-07-25,45700,2026-07-25,reduce_to:event_4452:925|stop:event_4451
request_49,user_49,2024-03-04,34333000,15786210.35,2024-04-17,16154810.35,2024-04-17,reduce_to:event_4569:368600
request_50,user_50,2025-08-06,43900,0,,0,,reduce_to:event_4680:1928|stop:event_4679
request_51,user_51,2026-01-03,2191000,2191000,2026-01-03,2191000,2026-01-03,none
request_52,user_52,2024-06-05,28870,26530,2024-06-14,26970,2024-06-14,stop:event_4858
request_53,user_53,2025-11-07,1699.2,714.42,2025-11-14,755.42,2025-11-14,stop:event_4925
request_54,user_54,2026-07-04,121528,6302.7,,7162.9,,stop:event_5024
request_55,user_55,2026-06-08,218600,148276.01,2026-06-14,158155.19,2026-06-14,stop:event_5101|reduce_to:event_5103:2536|stop:event_5102
request_56,user_56,2025-02-03,881.56,753.07,2025-02-15,787.6,2025-02-15,reduce_to:event_5210:24.00|stop:event_5211
request_57,user_57,2026-04-05,61446,15000.63,2026-05-14,17282.97,2026-05-14,stop:event_5282|reduce_to:event_5283:713|stop:event_5281
request_58,user_58,2024-12-07,16226000,0,,0,,stop:event_5358|stop:event_5357
