request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_28,310.7,not_affordable,not_recommended,none,,none,Cannot safely afford EUR 1302.4 within 90 days. Paying more than EUR 310.7 today would take the balance below the EUR 1100 minimum.
request_29,32532.19,not_affordable,not_recommended,none,,none,Cannot safely afford ZAR 51524 within 90 days. Paying more than ZAR 32532.19 today would take the balance below the ZAR 28300 minimum.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,5582071.93,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,Pay IDR 18164000 in full on 2024-10-15. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,0,not_affordable,not_recommended,none,,none,Cannot safely afford ZAR 40018 within 90 days. Paying more than ZAR 0 today would take the balance below the ZAR 35700 minimum.
request_33,51705.73,affordable_later,wait,2026-01-15:118000,2026-01-15,none,Pay INR 118000 in full on 2026-01-15. Paying earlier would take the balance below the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,56140.39,affordable_later,wait,2025-12-15:212000,2025-12-15,none,Pay INR 212000 in full on 2025-12-15. Paying earlier would take the balance below the INR 106400 minimum.
request_36,902.8,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Pay USD 3954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2400 minimum.
request_37,2035291.73,not_affordable,not_recommended,none,,none,Cannot safely afford IDR 14649000 within 90 days. Paying more than IDR 2035291.73 today would take the balance below the IDR 17056200 minimum.
request_38,248.94,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Pay EUR 971.3 in full on 2025-09-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,160378.32,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Pay INR 208600 in full on 2026-04-15. Paying earlier would take the balance below the INR 213400 minimum.
request_40,0,not_affordable,not_recommended,none,,none,Cannot safely afford EUR 1290.3 within 90 days. Paying more than EUR 0 today would take the balance below the EUR 1500 minimum.
request_41,13235628.95,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,Pay IDR 38760000 in full on 2025-12-15. Paying earlier would take the balance below the IDR 25366600 minimum.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This leaves at least INR 113100 available over the next 90 days.
request_43,9777449.1,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,Pay IDR 43339000 in full on 2024-10-15. Paying earlier would take the balance below the IDR 21398000 minimum.
request_44,0,not_affordable,not_recommended,none,,none,Cannot safely afford INR 95800 within 90 days. Paying more than INR 0 today would take the balance below the INR 82900 minimum.
request_45,5072824.97,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,Pay IDR 21983000 in full on 2026-08-15. Paying earlier would take the balance below the IDR 11149800 minimum.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25714, starting 2024-12-03. This leaves at least INR 84000 available."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This leaves at least IDR 30049000 available over the next 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,17006117.09,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11902106.67, starting 2024-03-18. This leaves at least IDR 20275700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This leaves at least INR 99700 available over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,26530,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay INR 28870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41500 minimum.
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2100 available."
request_54,6302.7,not_affordable,not_recommended,none,,none,Cannot safely afford ZAR 121528 within 90 days. Paying more than ZAR 6302.7 today would take the balance below the ZAR 37000 minimum.
request_55,148276.01,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124300 available."
request_56,753.07,affordable_with_plan,partial_payment,2025-02-03:753.07|2025-02-15:128.49,2025-02-15,none,Pay USD 753.07 today and the remaining USD 128.49 on 2025-02-15. This completes the full request and keeps the USD 2100 minimum protected.
